ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
138;13;2020-12-13 15:00:00;Stal Mielec;1;Lech Poznań;1;38;15;5;5;5;72;52;2;17;21;9;2;62;13;5;4;4;103;71;3;19;19;9;2
139;13;2020-12-12 20:00:00;Wisła Kraków;1;Legia Warszawa;2;39;7;4;3;0;66;35;4;13;16;2;1;61;13;5;8;0;93;55;1;13;14;6;3
140;13;2020-12-12 17:30:00;Górnik Zabrze;0;Cracovia;2;52;13;4;4;5;115;52;3;16;19;3;2;48;11;2;4;5;106;77;4;15;18;4;4
141;13;2020-12-12 15:00:00;Warta Poznań;1;Pogoń Szczecin;2;36;9;3;5;1;61;40;3;11;26;3;1;64;14;5;5;4;94;61;4;22;12;5;4
142;13;2020-12-11 20:30:00;Zagłębie Lubin;2;Śląsk Wrocław;1;61;18;7;7;4;106;58;2;10;16;9;2;39;7;5;1;1;67;26;3;15;12;2;1
143;13;2020-12-11 18:00:00;Podbeskidzie;0;Piast Gliwice;5;50;7;1;1;5;61;33;3;21;13;6;3;50;15;7;6;2;56;35;1;11;24;10;2
144;12;2020-12-07 20:30:00;Wisła Płock;0;Górnik Zabrze;1;55;6;5;1;0;80;57;3;21;16;12;3;45;5;2;3;0;82;40;1;16;24;3;0
145;12;2020-12-07 18:00:00;Pogoń Szczecin;2;Stal Mielec;0;67;20;4;10;6;112;69;0;17;11;8;1;33;3;1;1;1;60;30;3;11;18;1;1
146;12;2020-12-06 17:30:00;Lech Poznań;4;Podbeskidzie;0;59;19;9;7;3;89;53;0;11;13;9;2;41;7;2;3;2;75;43;2;12;13;3;1
147;12;2020-12-06 15:00:00;Piast Gliwice;1;Zagłębie Lubin;1;51;11;4;3;4;119;56;2;7;11;2;0;49;7;2;5;0;105;51;0;9;7;1;2
148;12;2020-12-05 20:00:00;Legia Warszawa;2;Lechia Gdańsk;0;57;14;5;6;3;82;51;3;19;20;3;2;43;10;2;7;1;79;29;4;20;21;3;0
149;12;2020-12-05 17:30:00;Śląsk Wrocław;1;Raków Częstochowa;0;47;11;6;3;2;81;38;0;17;12;3;0;53;14;1;11;2;91;65;1;10;17;7;2
150;12;2020-12-05 15:00:00;Jagiellonia Białystok;4;Warta Poznań;3;63;16;7;8;1;97;65;1;14;19;5;1;37;14;5;8;1;52;45;1;14;15;4;6
151;12;2020-12-04 20:30:00;Cracovia;1;Wisła Kraków;1;44;12;3;4;5;83;48;3;25;19;4;2;56;8;2;2;4;87;70;8;17;27;4;2
152;11;2020-11-30 18:00:00;Lechia Gdańsk;0;Lech Poznań;1;51;17;4;8;5;122;76;3;16;18;7;3;49;18;5;8;5;111;59;1;17;19;8;1
153;11;2020-11-29 17:30:00;Legia Warszawa;2;Piast Gliwice;2;61;23;11;10;2;116;74;2;13;15;11;1;39;5;3;2;0;63;19;2;15;14;1;0
154;11;2020-11-29 15:00:00;Raków Częstochowa;1;Warta Poznań;0;65;13;5;3;5;91;63;2;18;22;7;5;35;8;0;5;3;45;29;3;22;23;6;0
155;11;2020-11-28 20:00:00;Wisła Kraków;1;Zagłębie Lubin;2;60;8;3;3;2;96;66;2;18;14;13;2;40;11;6;4;1;66;36;4;14;20;3;0
156;11;2020-11-28 17:30:00;Podbeskidzie;0;Śląsk Wrocław;2;57;17;6;8;3;109;66;2;12;22;9;1;43;9;5;4;0;78;42;3;19;13;2;3
157;11;2020-11-28 15:00:00;Stal Mielec;3;Jagiellonia Białystok;1;40;16;7;5;4;73;60;0;14;10;12;1;60;10;1;8;1;96;65;0;10;15;4;0
158;11;2020-11-27 20:30:00;Górnik Zabrze;2;Pogoń Szczecin;1;53;27;12;8;7;135;70;1;8;15;3;3;47;5;3;0;2;83;42;3;14;12;6;1
159;11;2020-11-27 18:00:00;Wisła Płock;0;Cracovia;1;55;10;3;4;3;109;67;3;11;18;7;0;45;18;5;7;6;69;40;3;14;11;1;4
160;10;2020-11-23 20:30:00;Jagiellonia Białystok;5;Wisła Płock;2;43;14;8;4;2;52;38;1;14;13;6;0;57;15;6;4;5;64;57;1;13;14;6;0
161;10;2020-11-23 18:00:00;Piast Gliwice;2;Lechia Gdańsk;0;35;6;3;2;1;91;40;2;19;23;0;2;65;15;5;5;5;140;100;3;20;21;9;3
162;10;2020-11-22 17:30:00;Cracovia;0;Legia Warszawa;1;60;11;2;5;4;43;46;2;13;20;5;0;40;12;5;5;2;44;26;1;17;13;5;3
163;10;2020-11-22 12:30:00;Lech Poznań;3;Raków Częstochowa;3;58;14;5;5;4;116;56;2;13;19;6;0;42;21;13;4;4;90;60;4;17;13;8;2
164;10;2020-11-21 20:00:00;Warta Poznań;2;Wisła Kraków;1;36;6;4;2;0;82;53;2;17;20;5;1;64;14;3;5;6;123;75;2;18;18;9;2
165;10;2020-11-21 17:30:00;Zagłębie Lubin;2;Stal Mielec;2;63;16;6;5;5;97;52;1;18;13;8;0;37;11;5;2;4;69;27;3;11;18;2;2
166;10;2020-11-09 18:00:00;Pogoń Szczecin;1;Podbeskidzie;1;60;17;5;7;5;104;87;2;14;20;13;1;40;11;1;7;3;73;42;3;17;15;3;3
167;10;2020-11-07 20:00:00;Śląsk Wrocław;0;Górnik Zabrze;0;57;13;5;8;0;100;45;3;12;13;5;1;43;16;3;13;0;90;78;2;13;13;5;0
168;9;2020-12-02 18:00:00;Wisła Płock;0;Pogoń Szczecin;0;53;13;4;4;5;83;50;2;16;22;8;4;47;7;2;3;2;88;35;1;19;20;3;3
169;9;2020-11-24 18:00:00;Podbeskidzie;2;Zagłębie Lubin;1;42;12;5;5;2;76;55;2;20;18;5;2;58;13;5;5;3;103;76;3;17;22;6;1
170;9;2020-11-20 20:30:00;Górnik Zabrze;1;Piast Gliwice;2;56;12;6;3;3;145;84;1;13;15;9;0;44;5;4;1;0;77;34;1;10;13;2;5
171;9;2020-11-20 18:00:00;Lechia Gdańsk;3;Śląsk Wrocław;2;63;15;5;7;3;133;65;3;13;21;4;2;37;14;4;7;3;93;46;1;20;15;7;1
172;9;2020-11-08 17:30:00;Raków Częstochowa;0;Wisła Kraków;0;47;13;5;5;3;67;49;0;15;14;10;1;53;12;2;5;5;74;39;2;14;16;4;0
173;9;2020-11-08 15:00:00;Legia Warszawa;2;Lech Poznań;1;53;16;7;6;3;90;59;1;9;9;8;2;47;12;7;4;1;78;48;0;8;11;6;1
174;9;2020-11-07 17:30:00;Cracovia;3;Jagiellonia Białystok;1;53;11;6;3;2;69;44;1;23;21;3;1;47;9;5;4;0;61;44;4;17;24;7;4
175;9;2020-11-07 15:00:00;Stal Mielec;0;Warta Poznań;1;62;10;5;4;1;109;54;2;13;11;5;1;38;14;2;7;5;64;51;2;11;14;10;0
176;8;2020-10-26 18:00:00;Warta Poznań;0;Górnik Zabrze;1;58;5;1;3;1;75;36;1;9;22;4;1;42;13;6;4;3;75;44;1;20;10;6;2
177;8;2020-10-25 17:30:00;Lech Poznań;1;Cracovia;1;64;20;9;5;6;117;79;6;17;22;9;0;36;11;2;5;4;67;42;4;20;17;6;2
178;8;2020-10-25 15:00:00;Raków Częstochowa;2;Stal Mielec;1;39;20;8;4;8;72;53;2;19;16;11;1;61;6;4;1;1;90;43;2;15;20;1;1
179;8;2020-10-24 20:00:00;Pogoń Szczecin;0;Legia Warszawa;0;41;8;1;2;5;61;56;0;10;9;5;2;59;12;4;5;3;96;77;3;9;12;8;0
180;8;2020-10-24 17:30:00;Śląsk Wrocław;1;Jagiellonia Białystok;0;54;15;3;5;7;91;59;1;15;18;7;3;46;13;3;6;4;89;58;1;17;18;4;1
181;8;2020-10-24 15:00:00;Wisła Kraków;3;Podbeskidzie;0;52;13;7;3;3;72;40;3;14;18;6;1;48;14;5;4;5;74;54;3;16;15;8;2
182;8;2020-10-23 20:30:00;Zagłębie Lubin;1;Lechia Gdańsk;1;44;10;4;5;1;68;28;2;18;11;3;0;56;22;6;12;4;105;74;1;11;18;9;0
183;8;2020-10-23 18:00:00;Piast Gliwice;2;Wisła Płock;2;60;14;5;6;3;142;77;0;6;23;3;3;40;8;5;0;3;87;36;0;22;9;2;1
184;7;2020-10-19 20:30:00;Lechia Gdańsk;0;Pogoń Szczecin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
185;7;2020-10-19 18:00:00;Podbeskidzie;1;Warta Poznań;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
186;7;2020-10-18 17:30:00;Legia Warszawa;2;Zagłębie Lubin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
187;7;2020-10-18 15:00:00;Stal Mielec;0;Wisła Kraków;6;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
188;7;2020-10-18 12:30:00;Wisła Płock;1;Śląsk Wrocław;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
189;7;2020-10-17 20:00:00;Jagiellonia Białystok;2;Lech Poznań;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
190;7;2020-10-17 17:30:00;Górnik Zabrze;1;Raków Częstochowa;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
191;7;2020-10-17 15:00:00;Cracovia;1;Piast Gliwice;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
192;6;2020-11-02 18:00:00;Warta Poznań;0;Legia Warszawa;3;48;5;2;2;1;79;55;2;12;11;7;1;52;9;6;2;1;97;49;1;10;13;2;1
193;6;2020-10-30 18:00:00;Pogoń Szczecin;3;Jagiellonia Białystok;0;58;16;6;9;1;88;57;1;16;21;10;1;42;4;3;0;1;72;36;1;20;17;3;1
194;6;2020-10-28 18:00:00;Wisła Kraków;1;Lechia Gdańsk;3;52;12;6;6;0;87;44;4;14;20;7;1;48;16;7;5;4;93;53;1;18;14;6;2
195;6;2020-10-04 17:30:00;Piast Gliwice;1;Lech Poznań;4;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
196;6;2020-10-03 20:00:00;Zagłębie Lubin;2;Górnik Zabrze;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
197;6;2020-10-03 15:00:00;Podbeskidzie;1;Stal Mielec;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
198;6;2020-10-02 20:30:00;Śląsk Wrocław;3;Cracovia;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
199;6;2020-10-02 18:00:00;Raków Częstochowa;3;Wisła Płock;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
200;5;2020-12-16 20:30:00;Lech Poznań;0;Pogoń Szczecin;4;60;16;6;4;6;115;68;3;13;23;4;1;40;15;10;2;3;59;44;0;20;14;7;3
201;5;2020-10-21 18:00:00;Legia Warszawa;2;Śląsk Wrocław;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
202;5;2020-09-28 18:00:00;Stal Mielec;3;Piast Gliwice;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
203;5;2020-09-26 20:00:00;Jagiellonia Białystok;0;Zagłębie Lubin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
204;5;2020-09-26 17:30:00;Lechia Gdańsk;4;Podbeskidzie;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
205;5;2020-09-26 15:00:00;Cracovia;2;Raków Częstochowa;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
206;5;2020-09-25 20:30:00;Górnik Zabrze;0;Wisła Kraków;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
207;5;2020-09-25 18:00:00;Wisła Płock;1;Warta Poznań;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
208;4;2020-09-21 18:00:00;Piast Gliwice;0;Jagiellonia Białystok;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
209;4;2020-09-20 17:30:00;Lech Poznań;1;Warta Poznań;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
210;4;2020-09-20 15:00:00;Zagłębie Lubin;1;Cracovia;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
211;4;2020-09-19 20:00:00;Legia Warszawa;1;Górnik Zabrze;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
212;4;2020-09-19 17:30:00;Pogoń Szczecin;1;Śląsk Wrocław;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
213;4;2020-09-19 15:00:00;Lechia Gdańsk;4;Stal Mielec;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
214;4;2020-09-18 20:30:00;Wisła Kraków;0;Wisła Płock;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
215;4;2020-09-18 18:00:00;Podbeskidzie;1;Raków Częstochowa;4;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
216;3;2020-09-14 18:00:00;Raków Częstochowa;2;Zagłębie Lubin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
217;3;2020-09-13 17:30:00;Górnik Zabrze;3;Lechia Gdańsk;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
218;3;2020-09-13 15:00:00;Pogoń Szczecin;2;Wisła Kraków;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
219;3;2020-09-12 20:00:00;Śląsk Wrocław;3;Lech Poznań;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
220;3;2020-09-12 17:30:00;Warta Poznań;0;Piast Gliwice;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
221;3;2020-09-12 15:00:00;Cracovia;1;Stal Mielec;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
222;3;2020-09-11 20:30:00;Wisła Płock;0;Legia Warszawa;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
223;3;2020-09-11 18:00:00;Jagiellonia Białystok;2;Podbeskidzie;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
224;2;2020-08-30 17:30:00;Lech Poznań;2;Wisła Płock;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
225;2;2020-08-30 15:00:00;Podbeskidzie;2;Cracovia;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
226;2;2020-08-30 12:30:00;Piast Gliwice;0;Pogoń Szczecin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
227;2;2020-08-29 20:00:00;Legia Warszawa;1;Jagiellonia Białystok;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
228;2;2020-08-29 17:30:00;Wisła Kraków;1;Śląsk Wrocław;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
229;2;2020-08-29 15:00:00;Lechia Gdańsk;1;Raków Częstochowa;3;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
230;2;2020-08-28 20:30:00;Stal Mielec;0;Górnik Zabrze;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
231;2;2020-08-28 18:00:00;Zagłębie Lubin;1;Warta Poznań;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
232;1;2020-08-24 18:00:00;Jagiellonia Białystok;1;Wisła Kraków;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
233;1;2020-08-23 17:30:00;Górnik Zabrze;4;Podbeskidzie;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
234;1;2020-08-23 15:00:00;Warta Poznań;0;Lechia Gdańsk;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
235;1;2020-08-23 12:30:00;Wisła Płock;1;Stal Mielec;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
236;1;2020-08-22 20:00:00;Raków Częstochowa;1;Legia Warszawa;2;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
237;1;2020-08-22 17:30:00;Śląsk Wrocław;2;Piast Gliwice;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
238;1;2020-08-22 15:00:00;Cracovia;2;Pogoń Szczecin;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
239;1;2020-08-21 18:00:00;Zagłębie Lubin;2;Lech Poznań;1;50;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0
