ID;Kolejka;Data;Zespol1-Nazwa;Zespol1-Bramki;Zespol2-Nazwa;Zespol2-Bramki;Zespol1-Posiadanie piłki;Zespol1-Strzały;Zespol1-Strzały celne;Zespol1-Strzały niecelne;Zespol1-Strzały zablokowane;Zespol1-Ataki;Zespol1-Groźne ataki;Zespol1-Kartki;Zespol1-Faule;Zespol1-Rzuty wolne;Zespol1-Rzuty rożne;Zespol1-Spalone;Zespol2-Posiadanie piłki;Zespol2-Strzały;Zespol2-Strzały celne;Zespol2-Strzały niecelne;Zespol2-Strzały zablokowane;Zespol2-Ataki;Zespol2-Groźne ataki;Zespol2-Kartki;Zespol2-Faule;Zespol2-Rzuty wolne;Zespol2-Rzuty rożne;Zespol2-Spalone
36;26;2021-04-20 20:30:00;Lech Poznań;3;Lechia Gdańsk;0;54;13;5;5;3;70;42;2;21;13;6;2;46;7;2;5;0;92;47;3;14;23;5;0
37;26;2021-04-20 20:30:00;Śląsk Wrocław;4;Podbeskidzie;3;50;15;6;6;3;93;51;0;8;13;4;4;50;18;5;7;6;104;66;0;10;12;5;3
38;26;2021-04-20 18:00:00;Warta Poznań;0;Raków Częstochowa;2;55;11;4;4;3;84;40;0;18;11;5;1;45;8;6;0;2;72;33;1;10;19;4;1
39;26;2021-04-20 18:00:00;Pogoń Szczecin;1;Górnik Zabrze;0;59;9;2;6;1;119;66;2;8;14;6;1;41;9;2;3;4;110;67;5;13;9;4;1
40;25;2021-04-18 17:30:00;Legia Warszawa;0;Cracovia;0;62;20;6;5;9;106;64;0;16;19;9;1;38;10;4;4;2;78;36;2;18;17;0;1
41;25;2021-04-18 15:00:00;Wisła Płock;2;Jagiellonia Białystok;2;52;14;6;5;3;96;48;2;7;21;2;0;48;16;8;6;2;84;46;2;18;7;10;3
42;25;2021-04-18 12:30:00;Stal Mielec;0;Zagłębie Lubin;2;55;28;4;24;0;109;88;1;15;10;15;1;45;12;5;7;0;91;47;1;10;16;6;0
43;25;2021-04-17 20:00:00;Wisła Kraków;0;Warta Poznań;1;52;16;1;15;0;81;69;2;16;13;12;1;48;14;7;7;0;89;35;2;10;17;5;3
44;25;2021-04-17 17:30:00;Raków Częstochowa;3;Lech Poznań;1;37;8;6;2;0;83;46;0;10;18;4;1;63;12;3;9;0;113;77;0;18;11;7;0
45;25;2021-04-17 15:00:00;Lechia Gdańsk;2;Piast Gliwice;2;57;14;6;6;2;127;67;2;12;16;5;0;43;16;8;7;1;88;62;1;15;12;7;1
